qid,video_id,start,end,question,a0,a1,a2,a3,answer_id
34452,Q9U1PB5jTM8_120_180,17.14,22.73,How many sticks are used?,6,5,2,7,2
547,m4-QSxRFJEo_0_60,7.8,17.71,What project number is it going to be?,It is 5,It is 3,It is 1,It is 5,1
40905,GHneRyv9grM_180_240,15.21,27.99,How many of them were speaking?,1,6,9,5,0
34331,iiWObB7diuU_60_120,0.0,18.16,What colors are the stripes on the flag in the background?,Red and yellow,Black and white,White and blue,Orange and green,1
32602,NNRwVRWaySM_0_60,15.3,49.5,How do cook non veg?,I watch the tv,I read the books,The man and lady to explain the cooking,Going shop,2
41578,4NOkzKqkrKU_120_180,26.49,32.27,What is the color of the hand gloves used by the man?,Green color,Pink color,White color,Blue color,2
13896,28ZFlYlPe_8_60_120,14.28,21.13,What is the color of hand cloves?,Yellow,White,Green,Black,3
28900,fFCGb771uPc_120_180,29.89,61.63,What is this?,I read the books,Machine cheeking,Going shop,Prepare the food,1
33519,cZuBH1q7tGg_0_60,7.8,52.52,They goyes what do to?,Athlots,Jim mans,News reader,Actors,2
6635,NC3HukT9ZMA_120_180,0.0,7.75,What did she do to her pencil stroke?,She made the stroke straight,She threw the stroke,She cleaned the stroke,She overlapped her pencil stroke,3
8448,WQSdAZ8CrBk_180_240,0.0,11.55,What is the vegetable shown in this video?,Onion,Ladies finger,Brinjal,Tomato,0
12106,rJd9pXDUcP8_180_240,47.58,59.85,What is the person wrapping up in the video?,A book,A polo shirt,A kettle,A pair of shoes,0
34026,dT2y_Mljb-4_180_240,31.54,34.51,How are the cookies selected?,Specially selected,By an elf,By color,By size,0
14591,x6nCZoReOck_120_180,48.02,53.12,What does the man used in this video?,Testing equipment,Some tool,Control pressure,Pressure tester for air conditioning,3
27584,FHhXls8VehE_0_60,5.1,60.0,What is the man going to make?,Pan cakes,Flat breads,Fried chicken,Banana bread,1
22852,l-vqz91IqSk_60_120,22.21,32.71,What kind of planet in the tree?,Good in the make,Good in the make,Very good video,The pouder is very tast in the diss,3
3853,0bn12M7mbsQ_180_240,0.0,10.02,How many cans did the man order?,Two cans,Four cans,One can,Three cans,2
25608,ebKUBQXr50o_0_60,49.5,58.8,Which fruit is being used for this recipe?,Dinner,Breakfast,Lemon,Brunch,2
25331,R3pvmtzvjt0_0_60,35.1,40.8,Where did adam buy the case from?,Glass,Hong kong,Jars,Pants,1
928,B5cY8iVVimg_0_60,23.4,28.8,Where are the many trees located outside?,In a field,Outside of home,On ground,On the garden,0
9631,5NcCr6EBC8k_0_60,16.8,19.5,What is the person showing in the cup?,Some vegetables,Some fruit,Eggs,Some milks,2
40341,s258OC5NSIU_0_60,38.12,50.72,What is written on the sheet?,Robot cool,Ice cube,Cool water,Robot hot,0
4849,zbdpo5tfzqs_180_240,0.0,3.08,How many screws are there in the beginning of the video?,Five,Two,Four,Three,2
36661,JVf0Y7WJsfA_180_240,26.3,52.29,What color of flowers were the most predominant during the second half of the video?,Various colors of flowers,Red flowers,Yellow flowers,Purple flowers,3
24887,zNWOmRsuI-A_180_240,16.35,47.2,What is meant by cooking food?,The girl gives a idea about repairing the bike,The football ground is shown in the video,The man gives a idea about growing plant,Cooking or cookery is the art science and craft of using heat to prepare food,3
25296,kPqIH6iu5v8_120_180,16.46,44.5,What is the shape?,It shape was circle,A pencil,A fork,A pen,0
26307,Yqw05UgzTX4_0_60,15.6,51.9,When the man is what is doing in this video?,Dancing,Cooking,Walking,The man is making a cucumber salad,3
14595,YeBk7kZQt5w_180_240,3.74,10.79,How many bottle he shows?,7 bottles,4 bottles,1 bottle,5 bottles,2
37913,PTkbvCNVzu8_60_120,13.04,29.3,Hoe to clean in your hand?,Amazing,Super video,Shop,Two girls,2
14578,jxs9pxgjm8c_0_60,22.8,37.8,What is the name of the plant?,Gerbera,Poinsettia,Jasmine plant,Rose plant,1
9406,n96v20I2cs0_120_180,12.88,16.77,What is she brushing the powder off with?,A snowflake design,A piece of black paper,A paint brush,A tissue,3
22752,XAJO2fsIhyw_60_120,41.25,46.48,What does the person doing in this video?,Apple slices,Hand crafted work,Chicken breast,Lemon wedges,1
29122,unrab06IWXI_0_60,12.3,39.3,Why juice is bad for you?,The girl is playing the badmitton,"Calorie for calorie,fruit juice is worse for you then fizzy drinks",The boy is preparing the ice cream,The dog looks white in colour,1
35416,3wk_uCkwny8_180_240,28.69,46.27,What is the color of her t shirt?,Blue,Orange,Red,White,2
15649,inUvyZl_hjA_180_240,50.12,56.72,When is the frosting applied?,Once the cake is removed from the oven,After tasting it,After mixing the ingredients for it,After the cake has cooled,3
35828,YzrC2lppc6g_0_60,28.51,32.11,What did the woman stir the boiling water with?,A black spatula,A wooden spoon,The cast iron pan,Her eyeglasses,1
14484,LXjsOki09Ow_60_120,18.89,61.93,What do he?,Drinking water,Writing piem,He is make some craft,Reading books,2
30418,Rk9mWOt_ncw_0_60,0.0,12.9,What happen?,Sing song,Eat faty food,Going to bike,The two lady talk some topic,3
17365,CKAYGLNEGxI_180_240,12.25,25.51,What kind of action is this?,Gearing,A book,It's a pen,A dog,0
16830,Fo_YxhOBO8k_0_60,23.71,28.51,How many vehicles are there?,2 vehicle,5 vehicle,9,7 vehicle,0
36260,ATJVvuT-qMM_60_120,43.86,51.42,What is the color of the small bowl?,White,Green,Orange,Yellow,0
5699,WxSIODamNss_180_240,0.0,11.23,What two utensils are used to stir the mix?,A whisk and a spoon,A fork and a spoon,A spoon and a spatula,A fork and a whisk,2
4375,209FE3rhIjk_0_60,0.0,17.4,Which vehicle the man is using?,Army officer,Car,Student,Doctor,1
19370,v-xlqV54gOg_180_240,0.0,6.49,Which part of the girl's body is in a cast?,Right arm,Left leg,Right leg,Left arm,2
4934,0H_0deXMGmA_60_120,22.19,37.77,What she is making?,Preparing salad,Preparing hot water,Preparing die,Preparing hot milk,2
5738,ztO3YYKepgw_0_60,0.0,43.52,Where is this kind of lock is installed mostly?,Guest rooms,Office,Church,Home,1
5830,Yo_tNF4Px-M_60_120,3.02,7.86,What's the first thing she said she was making?,Ribeye steak,Banana pudding,Sausage,Apple pie,2
32480,FC-TzOEiw_8_60_120,16.15,60.93,What she is making?,Rearranging,Flower bookey,Craft work,Painting,1
3076,1qhGrGWbk9M_0_60,22.7,25.28,What is the man doing?,Cutting fruits,Swimming,Cooking,Cutting the tree,3
42234,9OmfCbmjm6c_180_240,47.36,54.75,Where are the audio controls mounted?,On a collar,On a blackboard,On the steering wheel,In a dictionary,2
21160,CCYYC-YEenc_0_60,10.2,18.91,What does chef dip into plastic container?,A knife,A fork,A brush,His fingers,2
9082,e_1215c,0.0,5.07,What is the color of the powder looking material?,It is white,It is blue,It is green,It is orange,0
22705,AKPopdRgGig_0_60,6.0,15.31,What is the color of the tshirt?,Blue,Orange,White color tshirt,Red color hair band,2
24984,UmbeF8FvONE_120_180,44.42,53.96,How long did it take to knead the dough?,7 to 8 minutes,10 to 15 minutes,1 hour,30 to 45 seconds,0
31777,z0r8QCIuHaM_120_180,27.7,31.75,Where are the colour swatch papers?,Wok,Plate,Pot,On the table,3
13463,Jo58V66wM8I_0_60,21.61,25.81,What city is mentioned in the video?,City of toronto,City of vancouver,City of los angeles,City of portland,3
30941,noRDawS4XgQ_0_60,56.43,60.03,How is the race started?,Countdown,Flare shot,Loud horn,Grenade throw,3
31775,SleFno9pAYM_0_60,3.9,10.2,How many pieces are fried?,8 pieces,10 pieces,5 pieces,2 pieces,3
29294,XeQPPcp3Sgg_0_60,9.3,30.3,What is the box made off?,Made of wood,Electric skillet,Immersion blender,Hand mixer,0
42000,0t21iFjcVPk_120_180,22.16,45.7,Finally what object is in the table?,Lovely boy,Sound,Computer monitor,Amazing,2
39753,LX8Lsz3KhNM_120_180,28.16,36.94,What is the person doing?,A bracelet,A head scarf,Fixing the roof,A necklace,2
7765,5-d1OV_nj24_120_180,6.59,12.48,What is the boy doing?,Explanation is not clear,Repairing the vehicle,Bad settings,Arrangement is proper,1
14767,lpF-snFMufc_60_120,7.39,43.71,Why do you want to be a cook?,No i am not interest cooking mostly time,Yes i am eating vegetable only,Iam going to sleeping,Say you have a passion for food and enjoy cooking,3
4977,vXocqHd6tj0_120_180,0.0,6.17,What is the color of the shirt worn by the demonstrating host?,Green,Blue,White,Black,2
39678,I8kUXo5ZbjQ_60_120,0.0,55.28,What oil was used for the dish?,Flower oil,Refined oil,Seed oil,Vegetable oil,3
1530,_hxUXwLDyjs_0_60,14.11,21.01,What is he making in the video?,Plain naan,Chicken curry,Garlic naan,Basmati rice,0
17850,MFSWYQyWF1k_0_60,18.0,42.3,What kind of fruit they are dealing?,Read a book,Write a book,Lemon,Dog play,2
41756,oJbH5tYMQ-k_60_120,3.87,11.33,What she pour into that?,Tomato ketchup,Chilli sauce,Sausage,Jam,0
952,VhvzxM9M7K8_120_180,8.65,53.43,How did the man cut the sofa by using of what here in the video?,Small knife,Scissors,Cutter,Stick,0
26651,fn5VUPYDu2s_120_180,15.03,24.05,What does woman use to stir contents of bowl?,With hands,Metal spoon,Wooden spoon,Metal whisk,3
34395,rBrs_td_b74_60_120,20.11,60.02,What does she have in the clear spray bottle?,Nothing,Water,Resin,Alcohol,3
29448,RT6Swn_JZNA_0_60,14.71,36.62,What is the name of the game developer?,Mini clip,Gameloft,Ea,Tencent,0
8291,wiYggGClOGk_60_120,3.03,13.44,How long does the person say to simmer pot?,40 minutes,30 minutes,1 hour,15 to 20 minutes,3
20468,V4t8xLtev7g_60_120,24.5,35.5,Where is the person in the clip probably standing?,Bedroom,Greenhouse,Foyer,Mudroom,1
22878,UN6Ck5uDgM0_0_60,49.22,60.03,Turmeric is also used in her home country to cook curries and other dishes. where is here home country?,Nice,Lovely,Nepal,Nature,2
36357,jSfBpG-uLcA_0_60,0.0,7.2,What is the man wearing on his head?,Latex gloves,Silver bracelet,Gold watch,A beanie,3
26164,S-O6fIzXiAY_0_60,20.4,22.2,What kind of animal is in the woods?,A dog,A deer,A bear,A fox,0
23997,OipKdRHGH7U_120_180,0.0,42.02,What is the voice of the gender?,Male,Female,Transgender,Agender,1
36499,yonQKtG03xE_0_60,6.3,16.2,Which is one of the ingredient using?,Milk,Water,Sauce,Lemon juice,0
7757,wbI9u-s9kto_0_60,8.7,39.32,What are doing girl in this video?,Burger,The girl explain the raw makeup,Pizza,Sandwich,1
31425,vrrUu7fQ0oU_0_60,13.5,41.4,What is a craft work?,The boy is preparing the ice cream,The girl gives a idea about repairing the bike,Art and crafts describes a wide variety of activities involving making things with one's own hands,The girl is playing the badmitton,2
2685,q7E8WsP8haQ_120_180,23.06,35.36,Which shape is this?,Cone,Papaya,Pine apple,Water melon,0
8756,HIGwhTi510c_0_60,14.11,32.71,He explain in what about?,Dance,Movie,Nothing,Historical related,3
21238,10xMELPpkKQ_180_240,15.98,47.02,How many bread pieces are there?,4,10,6,8,3
38753,bfvIXfKJSP0_120_180,13.81,43.27,What is the healthiest food to eat?,He is opening the computer,He is setting the speaker in his truck,Avocados.avocados are different than most fruits,He is making some cake,2
25467,3rfiHHcDifE_120_180,16.37,34.46,What is object?,Shower,Tap,Bathtub,Door lock,3
14629,xci6_8qjWl8_0_60,0.0,9.3,What color is the little girls shirt?,It is pink,It is red,It is green,It is grey,1
14157,ozSjgbwi2FA_0_60,0.0,7.8,Where is the woman standing?,Bedroom,Bathroom,Yard,Kitchen,3
19574,A8rA-h7WMU8_60_120,15.24,48.46,Where are the man?,At a fair,The two man is disscuss with the nursury plant growth,In a basement,In a kitchen,1
6847,MxdMk5X06Sg_120_180,7.92,24.05,What letters are inside the clock picture?,B and t,G and h,E and f,A and e,3
7148,JEz6xJqf59E_180_240,18.82,54.44,How many ingredients mixed in the drink?,The drink is green color,The drink contain rum,Cana brava rum is one of the mixed item in this drink,Seven ingredients are mixed in this drink,3
8738,EnoPR-0U2_4_120_180,24.66,35.01,How many strips of the meat does the man end up with?,Nine,Five or six,Three,One,2
27429,Vj-FolDe6Oo_120_180,40.8,57.24,What is the fruit is used in this video?,Holding a pen,Holding a cycle,Holding a stone,Lemon,3
6866,XlsCLYPPwJM_60_120,44.12,54.32,What was in her hand?,Juice,Pen,Stick,Rubber band,3
3585,iPjHD2qrCKE_60_120,5.85,22.79,What pattern is on the man's shirt?,Plaid pattern,Criss cross pattern,Polka dot pattern,Argyle pattern,0
6055,cfXzwh3KadE_180_240,21.05,53.22,Why does the leaf look green?,"The em wave interacts with the chlorophyl molecules, waves are reflected and our eyes interpret this as the leaf being green",Not eating,Get out the dish,No tested,0
13418,9CCQXjziFfM_120_180,27.63,34.54,Where is the bowl of beans placed?,On the shelf,In a cabinet,On the table,On the kitchen counter,0
22440,ruTU8CcX6_s_0_60,0.0,36.3,How many persons are shown in this video?,6,1,7,5,1
1280,GaqiOA7MMUQ_60_120,16.94,28.34,Why is the man using his tools?,For a project involving a long metal rod,To check out all his screws and bolts,He is working on his car,He is cleaning them,0
19435,6vhmiGxDqVY_180_240,44.72,57.19,What colour is the interior of the box once it is made?,Some water,Lime green,Some thunder,A product,1
14532,WXVZVh5bgy4_180_240,10.2,23.41,How many spoons are used?,2,5,1,6,2
28641,Oog1ENMGRsE_180_240,0.0,10.26,How did the people reach the top of the tree?,When the kitchen staff not working,No i am not interest cooking mostly time,Using a ladder,Iam going to sleeping now,2
4262,xFgsDM978lk_0_60,24.31,60.03,What he did in this video?,Play a video game,Take a paper,Light the candle,Drink a water,0
14582,xRDzt_2Mdl8_120_180,22.7,33.75,What kind of in oil in the oil?,Good in the shoes,In the dejen very good clour,Good in the shoes,Very good lef in the medicin,1
32185,j7LKa8D4YWg_120_180,50.23,57.31,What is the name of the lady?,Julie,Amy,Ana,Mary,2
38475,FhShuSP187U_120_180,5.23,8.92,What kind of salt is being used?,Applying duct tape,Applying glue,Applying paste,Himilayan salt,3
2327,SYW8TzGFZuo_120_180,0.0,6.36,What are the yellow items in the pan?,They are eggs,They are pop tarts,They are beats,They are pancakes,0
21465,weLS6WWm2_Y_60_120,9.59,53.66,Which animal being showed?,Dog,Cow,Bird,Cat,0
1765,JNvhAVASQtM_60_120,1.54,6.15,Which job related to the car is likely to be the least time consuming?,Installing a new wind shield,The painting,Fixing the brakes,Making it road worthy,1
15096,tdcEx1L6Nfg_0_60,31.21,38.71,Where did the man pour the liquid?,Pan,Jar,Plate,Bowl,0
22283,OYSncONeefw_60_120,0.0,3.4,How many egg yolks are there?,7,8,3,6,1
21641,__dyXuHiL0Y_180_240,6.56,54.98,What did the lady cooking in the electric cooker?,Eating,Cleaning,Sleeping,Fruits,3
28396,kYKYERBgh3w_60_120,0.0,8.1,What is the person flying in the piece of art?,A kite,A stick,Nothing at all,A plane,0
31618,zECZXmDmHR0_120_180,23.89,37.67,How much soy sauce is added to the bowl?,One cup,Only a couple drops,A tablespoon or so,"A lot, many spoonfuls",2
2018,QHPVnCORfTc_120_180,0.0,7.22,What is the color of the shirt worn by the host?,Black,Red,Blue,Green,1
23061,dKTMmD9bmDc_180_240,22.83,45.96,How many spoon the lady used for cooking?,Ten spoon,Six spoon,One spoon,Five spoon,2
630,BKmJp1zuLh4_60_120,16.17,29.29,Why is the man using this product?,To change the color of a car's seat,To get blood out of material,He appears to be cleaning the upholstery of his vehicle,To remove stains from a car,2
33609,89YVoU2MlvU_0_60,6.6,21.31,Which instrument chef used?,Knives,Cutter,Blade,Knife,0
24345,HBtCC9rFunM_120_180,15.42,34.85,What is a product involved?,Flour,Baking soda,Soda ash,Washing soda,1
8097,gHPzkCu8VyY_120_180,36.84,42.63,Is he speak about the leaf herbal property?,Yes he spoke about the herbal,No flower beauty,Flower property,Leaf structure,0
37741,Apt4p-whcz0_180_240,48.24,57.71,Which was more color?,Carrot,Beetroot,White,Brinjal,2
31483,RcEP-59-qog_120_180,0.0,30.52,What category of video is mentioned in this video?,Gaming,Cooking,Travel,Technology,3
37264,LVSggY6ULn8_180_240,56.24,60.8,What is the color of the car behind the person?,Yellow,Blue,Black,White,2
30897,VfRC6ZBpIIc_60_120,29.61,36.42,What to pick in the tallying to this ideo?,In the good link,In our collage in typic,Main thik userful,In clear of tree,1
23162,Do5rx0H5Qao_60_120,2.74,5.18,How many bowls is there on her hand?,1,3,2,0,0
